A,B,C,D,E,H,I,P,N,DP,total_hba,total_num_aromatic_heterocycles,total_rot_bonds,total_n_nitrogen,total_num_rings,total_logp,total_tpsa,total_heavy_atom_count,total_hallkieralpha,total_kappa3,total_kappa2,total_balabanj,total_chi1v,total_n_carbon,total_n_oxygen,total_chi0v,total_num_aliphatic_rings,total_arom_rings,total_mw,total_bertzct,total_hbd,charge,total_num_valence_electrons,total_molar_ref,total_num_heteroatoms,total_num_sat_rings,total_kappa1,predicted_docking_score,Consensus_Class,score,fluorescence
0.0,4.0,3.0,9.0,0.0,0.0,5.0,0.0,0.0,21.0,57.0,0.0,75.0,9.0,4.0,12.125699999999998,725.79,213.0,-21.66,97.969629,96.574067,64.689953,65.323781,156.0,48.0,130.362724,0.0,4.0,3007.635,3121.577474,0.0,6.0,1189.0,818.095,57.0,0.0,183.723508,-8.675278,2,0,High
0.0,8.0,3.0,9.0,0.0,2.0,0.0,0.0,0.0,22.0,61.0,0.0,78.0,9.0,8.0,12.346700000000002,792.55,232.0,-25.65,89.642773,101.962231,64.285036,69.592287,171.0,52.0,136.639679,0.0,8.0,3247.764,3827.215268,2.0,6.0,1269.0,880.3486,61.0,0.0,191.117016,-8.851692,2,0,High
0.0,5.0,3.0,9.0,0.0,0.0,6.0,0.0,0.0,23.0,61.0,0.0,81.0,9.0,5.0,15.4131,778.3900000000001,234.0,-24.020000000000003,105.624728,105.036496,70.396136,71.938661,173.0,52.0,142.942947,0.0,5.0,3297.994,3491.4881370000003,0.0,6.0,1303.0,900.5239999999999,61.0,0.0,200.459385,-8.710387,2,0,High
0.0,5.0,3.0,9.0,0.0,0.0,5.0,0.0,0.0,22.0,59.0,0.0,78.0,9.0,5.0,14.0415,752.09,225.0,-23.23,100.549828,100.911418,67.12363500000001,68.981865,166.0,50.0,137.057536,0.0,5.0,3169.823,3386.0043590000005,0.0,6.0,1251.0,864.53,59.0,0.0,192.249385,-8.72195,2,0,High
0.0,8.0,2.0,8.0,0.0,3.0,0.0,0.0,0.0,21.0,57.0,0.0,73.0,8.0,8.0,13.0837,740.45,220.0,-24.33,82.867026,96.750897,60.921956,66.042211,163.0,49.0,129.308015,0.0,8.0,3077.576,3644.288520000001,3.0,6.0,1202.0,837.8054000000001,57.0,0.0,180.437016,-8.900179,2,0,High
0.0,5.0,3.0,9.0,0.0,0.0,4.0,0.0,0.0,21.0,57.0,0.0,75.0,9.0,5.0,12.6699,725.7900000000001,216.0,-22.44,95.474928,96.78634,63.851134,66.025069,159.0,48.0,131.172125,0.0,5.0,3041.652,3280.5205810000007,0.0,6.0,1199.0,828.536,57.0,0.0,184.039385,-8.72798,2,0,High
0.0,7.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,24.0,63.0,0.0,79.0,9.0,7.0,14.6926,804.69,239.0,-26.37,95.480181,105.970425,71.49299400000001,72.018823,176.0,54.0,142.560405,0.0,7.0,3353.929,3768.185939,0.0,6.0,1315.0,911.58,63.0,0.0,199.301139,-8.758852,2,0,High
0.0,5.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,21.0,57.0,0.0,71.0,9.0,5.0,10.1255,725.7900000000001,208.0,-22.44,87.29089200000001,93.893784,63.45273,62.601701,151.0,48.0,124.862721,0.0,5.0,2929.436,3163.1828290000003,0.0,6.0,1151.0,791.8799999999999,57.0,0.0,176.039385,-8.685062,2,0,High
0.0,5.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,21.0,62.0,0.0,81.0,10.0,7.0,9.7436,790.28,228.0,-24.97,92.829157,101.437271,61.559926,68.552696,166.0,52.0,135.04485999999997,0.0,7.0,3199.7,3714.508331000001,0.0,6.0,1252.0,861.5310000000001,62.0,0.0,189.672917,-8.796896,2,0,High
0.0,5.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,22.0,65.0,0.0,86.0,10.0,8.0,11.5382,825.8100000000001,242.0,-26.74,96.586486,107.24118800000002,63.722069000000005,72.850026,177.0,55.0,142.85502699999998,0.0,8.0,3391.914,4007.169102,0.0,6.0,1326.0,914.624,65.0,0.0,199.984683,-8.80631,2,0,High
0.0,4.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,23.0,58.0,0.0,70.0,8.0,4.0,12.9163,732.36,211.0,-22.67,89.71597700000001,97.022719,70.409038,63.688236,153.0,50.0,127.914164,0.0,4.0,2981.529,3008.901324,0.0,6.0,1176.0,808.81,58.0,0.0,180.713508,-8.432497,2,0,High
0.0,5.0,4.0,10.0,0.0,0.0,0.0,5.0,0.0,24.0,71.0,0.0,96.0,10.0,10.0,15.1274,896.87,270.0,-30.28,104.101144,118.84902200000002,68.046355,81.44468599999999,199.0,61.0,158.475361,0.0,10.0,3776.342,4592.490644,0.0,6.0,1474.0,1020.81,71.0,0.0,220.608215,-8.813414,2,0,High
0.0,0.0,3.0,9.0,5.0,0.0,4.0,0.0,0.0,21.0,57.0,0.0,70.0,9.0,0.0,6.7684,725.7900000000001,191.0,-18.54,97.718388,92.10928,67.547224,58.239419000000005,134.0,48.0,119.238365,0.0,0.0,2731.2970000000005,2339.132856,0.0,6.0,1089.0,730.511,57.0,0.0,172.46,-8.460493,2,0,High
0.0,6.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,22.0,59.0,0.0,74.0,9.0,6.0,12.0413,752.0900000000001,220.0,-24.01,89.871091,98.231135,65.88641199999999,66.25978500000001,161.0,50.0,131.557533,0.0,6.0,3091.624,3427.609714,0.0,6.0,1213.0,838.315,59.0,0.0,184.565262,-8.741561,2,0,High
0.0,0.0,4.0,10.0,0.0,0.0,3.0,5.0,0.0,22.0,67.0,0.0,90.0,10.0,5.0,9.663199999999998,844.27,237.0,-24.8,106.424849,109.53750100000002,65.695448,72.024654,170.0,57.0,142.657534,0.0,5.0,3349.915,3586.807553,0.0,6.0,1320.0,896.6170000000001,67.0,0.0,202.60883,-8.697797,2,0,High
0.0,4.0,5.0,11.0,0.0,0.0,0.0,3.0,0.0,23.0,70.0,0.0,91.0,11.0,7.0,8.5933,898.1400000000001,250.0,-27.32,104.145458,112.447246,67.762897,74.952093,180.0,59.0,147.95426,0.0,7.0,3516.03,4013.343537,0.0,6.0,1377.0,938.974,70.0,0.0,209.308806,-8.74201,2,0,High
0.0,4.0,4.0,10.0,0.0,0.0,0.0,4.0,0.0,22.0,66.0,0.0,88.0,10.0,8.0,11.417,835.0400000000001,244.0,-26.94,97.763616,108.707754,63.45053,73.489272,178.0,56.0,143.97038199999997,0.0,8.0,3421.94,4035.402988,0.0,6.0,1338.0,921.2820000000002,66.0,0.0,201.770572,-8.7964325,2,0,High
0.0,6.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0,21.0,57.0,0.0,75.0,9.0,6.0,13.214099999999998,725.7900000000001,219.0,-23.22,92.980227,96.998613,63.012315,66.72635700000001,162.0,48.0,131.981526,0.0,6.0,3075.669,3439.4636880000003,0.0,6.0,1209.0,838.9770000000001,57.0,0.0,184.355262,-8.776667,2,0,High
0.0,0.0,3.0,9.0,0.0,0.0,6.0,0.0,4.0,22.0,59.0,0.0,78.0,17.0,0.0,0.9296999999999996,935.65,210.0,-21.450000000000003,110.86348900000002,97.965141,71.773162,63.052057,143.0,50.0,129.010531,0.0,0.0,2999.578,2736.927396,8.0,6.0,1193.0,797.9533999999999,67.0,0.0,188.55,-8.588497,2,0,High
0.0,3.0,2.0,8.0,0.0,0.0,8.0,0.0,0.0,21.0,54.0,0.0,73.0,8.0,3.0,15.3538,679.76,208.0,-20.31,100.474959,95.068541,65.599264,64.775934,154.0,46.0,129.5301,0.0,3.0,2943.656,2903.0006030000004,0.0,6.0,1170.0,808.857,54.0,0.0,181.977631,-8.578853,2,0,High
