D,H,A,E,C,I,P,B,N,DP,Fluorescence,total_num_valence_electrons,total_hallkieralpha,total_num_sat_rings,total_kappa2,total_kappa3,total_bertzct,total_balabanj,total_rot_bonds,total_hbd,total_hba,total_num_heteroatoms,total_num_aromatic_heterocycles,total_num_aliphatic_rings,total_logp,total_chi0v,total_arom_rings,total_num_rings,total_kappa1,total_n_carbon,total_mw,total_n_oxygen,total_chi1v,charge,total_heavy_atom_count,total_molar_ref,total_tpsa,total_n_nitrogen,predicted_docking_score,Consensus_Class,score,fluorescence
2.5,2.5,23.5,2.5,0,0,0,0,0,31,2.773204106,1015.5,-24.69,0,67.5779985,104.6894625,2072.4610355,99.010905,46,26,43.5,67,0,0,-6.6473,103.178371,0,0,155.31,113,2568.904,41,46.497318,2.5,180,693.3899,1275.19,26,-7.627313,2,0,High
17.5,10,2.5,2.5,0,0,0,0,0,32.5,2.766938545,1627.5,-26.775,0,143.03913,142.1471925,3325.4565725,102.9687,107.5,12.5,90,92.5,0,0,0.0797499999999997,175.4107675,0,0,258.225,192.5,4094.905,72.5,84.6562275,17.5,285,1098.059,1202.275,20,-8.163239,2,0,High
10,2.5,0,0,2.5,15.5,0,0,0,30.5,2.764657164,1631,-25.92,0,136.0887265,152.2384625,3436.497144,98.650103,104,2.5,78.5,78.5,0,0,18.82155,180.332793,0,0,258.58,206,4066.5955,68.5,89.039668,7.5,284.5,1105.5115,1012.05,10,-8.1246605,2,0,High
10,10,0,0,10,2.5,0,0,0,32.5,2.754079122,1720,-31.775,0,149.067535,147.7132,3846.468365,104.0406525,117.5,10,105,105,0,0,-9.783,177.2777875,0,0,270.725,197.5,4344.6275,95,87.09425,0,302.5,1080.253,1517.35,10,-7.999952,2,0,High
10,10,0,0,2.5,10,0,0,0,32.5,2.716754553,1690,-27.8,0,145.89136,149.5521925,3513.895655,103.9870725,110,10,90,90,0,0,9.087,181.43089,0,0,267.2,205,4232.525,80,89.3528525,7.5,295,1119.358,1216.375,10,-8.018965,2,0,High
0,0,15,7.5,0,0,0,0,0,22.5,2.686755252,720,-17.775,0,48.3374325,70.8666825,1439.821095,71.868825,30,15,30,45,0,0,0.38175,73.86129,0,0,109.725,82.5,1817.0625,30,33.603,0,127.5,492.096,843.6,15,-7.8454366,2,0,High
15.5,0,2.5,10,2.5,0,0,0,0,30.5,2.686080757,1493.5,-26.04,0,126.6146605,132.6849475,3152.8488895,97.4605325,94.5,2.5,79,81.5,0,0,5.4254,163.5018055,0,0,236.46,181,3756.0455,63.5,78.742751,13,262.5,1013.806,1035.9,18,-8.0715885,2,0,High
7.5,7.5,0,0,7.5,7.5,0,0,0,30,2.672536797,1582.5,-28.275,0,135.004215,139.3312125,3478.197525,96.4383075,105,7.5,90,90,0,0,0.377999999999998,166.0637775,0,0,249.225,187.5,3979.4325,82.5,81.952665,0,277.5,1012.656,1285.95,7.5,-8.335752,2,0,High
10,2.5,0,0,10,13.5,0,0,0,36,2.669834212,1947,-34.24,0,161.9528305,178.31142,4349.230633,116.7024385,128,2.5,104.5,104.5,0,0,7.49535,208.549451,0,0,307.26,237,4883.6385,94.5,103.0434435,0,341.5,1264.3735,1457.675,10,-7.6215935,2,0,High
10,0,13.5,0,0,2.5,2.5,0,0,28.5,2.634341202,1263,-25.365,0,95.3114985,118.5102725,2984.937453,88.8001275,73.5,13.5,56,69.5,0,0,4.44745,136.258511,2.5,2.5,194.839415,155.5,3192.389,46,65.2415955,10,225,884.5514,1058.29,23.5,-8.280596,2,0,High
